city,loc,pop,state,zip
EAST DOUGLAS,-71.726611,5594,MA,1516
FISKDALE,-72.117764,774,MA,1518
GRAFTON,-71.686848,4910,MA,1519
HOLDEN,-71.84142,12051,MA,1520
HOLLAND,-72.154373,747,MA,1521
JEFFERSON,-71.87058,2478,MA,1522
LANCASTER,-71.686831,6018,MA,1523
LEICESTER,-71.918829,6527,MA,1524
MILLBURY,-71.764438,12228,MA,1527
MILLVILLE,-71.579813,2236,MA,1529
NEW BRAINTREE,-72.130642,881,MA,1531
NORTHBOROUGH,-71.646372,11930,MA,1532
NORTHBRIDGE,-71.656366,4564,MA,1534
NORTH BROOKFIELD,-72.082129,4755,MA,1535
NORTH GRAFTON,-71.703691,5401,MA,1536
NORTH OXFORD,-71.885953,3031,MA,1537
OXFORD,-71.868677,9557,MA,1540
PRINCETON,-71.876245,3189,MA,1541
ROCHDALE,-71.906882,1154,MA,1542
RUTLAND,-71.948951,4936,MA,1543
SHREWSBURY,-71.720503,24146,MA,1545
SOUTHBRIDGE,-72.035347,17816,MA,1550
SOUTH GRAFTON,-71.692725,2719,MA,1560
SPENCER,-71.990617,11598,MA,1562
STERLING,-71.775192,6481,MA,1564
STURBRIDGE,-72.084233,7001,MA,1566
WEST UPTON,-71.608014,4682,MA,1568
UXBRIDGE,-71.632869,10364,MA,1569
DUDLEY HILL,-71.839467,3735,MA,1570
DUDLEY,-71.893228,22001,MA,1571
WESTBOROUGH,-71.617604,14132,MA,1581
WEST BOYLSTON,-71.783822,6611,MA,1583
WEST BROOKFIELD,-72.151137,3528,MA,1585
WHITINSVILLE,-71.664357,8807,MA,1588
WILKINSONVILLE,-71.748416,6719,MA,1590
WORCESTER,-71.841678,19988,MA,1602
WORCESTER,-71.837995,18605,MA,1603
WORCESTER,-71.774626,29036,MA,1604
WORCESTER,-71.788795,25695,MA,1605
WORCESTER,-71.795774,18213,MA,1606
WORCESTER,-71.793837,9048,MA,1607
WORCESTER,-71.800262,3646,MA,1608
WORCESTER,-71.817456,21905,MA,1609
WORCESTER,-71.810798,23720,MA,1610
CHERRY VALLEY,-71.874971,2510,MA,1611
PAXTON,-71.920234,4047,MA,1612
FRAMINGHAM,-71.425486,65046,MA,1701
VILLAGE OF NAGOG,-71.422354,2330,MA,1718
BOXBORO,-71.518229,3343,MA,1719
ACTON,-71.448255,15514,MA,1720
ASHLAND,-71.458347,12066,MA,1721
BEDFORD,-71.276796,16147,MA,1730
BOLTON,-71.607593,3134,MA,1740
CARLISLE,-71.351892,4333,MA,1741
CONCORD,-71.374741,17076,MA,1742
SOUTHBOROUGH,-71.502256,506,MA,1745
HOLLISTON,-71.436059,12917,MA,1746
HOPEDALE,-71.537601,5649,MA,1747
HOPKINTON,-71.530178,9191,MA,1748
HUDSON,-71.560896,17233,MA,1749
MARLBOROUGH,-71.543355,31813,MA,1752
MAYNARD,-71.454975,10325,MA,1754
MENDON,-71.549882,4010,MA,1756
MILFORD,-71.527402,25372,MA,1757
NATICK,-71.35741,30432,MA,1760
SHERBORN,-71.378717,3998,MA,1770
SOUTHBOROUGH,-71.531997,6122,MA,1772
LINCOLN,-71.313723,4515,MA,1773
STOW,-71.515019,5328,MA,1775
SUDBURY,-71.428159,14358,MA,1776
WAYLAND,-71.358781,11874,MA,1778
WOBURN,-71.157404,36152,MA,1801
BURLINGTON,-71.200437,23093,MA,1803
ANDOVER,-71.156481,29161,MA,1810
BILLERICA,-71.251754,28899,MA,1821
SOUTH CHELMSFORD,-71.357521,24457,MA,1824
DRACUT,-71.318592,25594,MA,1826
DUNSTABLE,-71.495201,2166,MA,1827
HAVERHILL,-71.072057,22445,MA,1830
